============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Graphite (carbon)( 2.13 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  181  9 .8262786E+07   2139058E-02  .1432E+04  .3776E+03   .9979510  .0524210  .0366855
T  182  9 .8256445E+07   2151957E-02  .1907E+04 -.1077E+03   .9952511  .0957967 -.0172676
T  183  9 .8241520E+07   2144880E-02  .1903E+04 -.5825E+02   .9962082  .0869516 -.0029563
T  184  9 .5998531E+07   2147070E-02 -.1629E+04  .2141E+04   .9563018 -.2289954  .1817908
T  185  9 .8334592E+07   2151338E-02  .1809E+04  .6910E+02   .9969739  .0777179 -.0017127
T  186  9 .8253268E+07   2138256E-02  .1971E+04  .3667E+02   .9949968  .0998306 -.0038993
T  187  9 .8294459E+07   2139772E-02  .2009E+04  .1429E+02   .9950274  .0995587  .0029145
T  188  9 .8306082E+07   2145329E-02  .1904E+04 -.6077E+01   .9958005  .0914865 -.0034156
T  189  9 .8214151E+07   2150884E-02  .1847E+04  .3137E+02   .9962928  .0842439  .0174225
T  190  9 .8287100E+07   2144447E-02  .1945E+04 -.1604E+03   .9956553  .0914575 -.0174965
T  191  9 .8298316E+07   2138778E-02  .1806E+04  .1065E+03   .9969503  .0771859  .0115114
T  192  9 .8271448E+07   2139984E-02  .1744E+04  .2769E+02   .9966970  .0810772  .0046374
T  193  9 .8243592E+07   2146641E-02  .1909E+04  .6575E+02   .9959167  .0896582  .0105542
T  194  9 .8267194E+07   2142169E-02  .1948E+04 -.2668E+02   .9954230  .0954711 -.0042699
T  195  9 .8243682E+07   2146585E-02  .1842E+04 -.2610E+02   .9971230  .0750618 -.0105569
T  196  9 .8263684E+07   2130649E-02  .1677E+04 -.3599E+02   .9978271  .0658842 -.0005316
T  197  9 .8292228E+07   2150680E-02  .1950E+04  .1235E+02   .9958428  .0909899  .0042369
T  198  9 .8273705E+07   2145302E-02  .1675E+04 -.2865E+02   .9971580  .0752148 -.0043215
T  199  9 .8231064E+07   2139103E-02  .2002E+04 -.2055E+02   .9950645  .0991778 -.0032331
T  200  9 .8249540E+07   2147752E-02  .2055E+04  .1252E+03   .9958637  .0904184  .0089406
T  201  9 .8377343E+07   2142562E-02  .1735E+04 -.1149E+03   .9959388  .0890295 -.0134071
T  202  9 .8209974E+07   2136464E-02  .1817E+04 -.1535E+02   .9970601  .0763317 -.0066846
T  203  9 .8284884E+07   2144588E-02  .1779E+04  .1400E+03   .9969680  .0751636  .0201325
T  204  9 .8281547E+07   2147426E-02  .1908E+04  .1990E+03   .9958220  .0895814  .0177101
T  205  9 .8268544E+07   2136988E-02  .1710E+04  .1437E+03   .9972694  .0720384  .0162545
T  206  9 .8255435E+07   2137610E-02  .1823E+04  .2733E+02   .9964279  .0839000  .0096048
T  207  9 .8235923E+07   2144991E-02  .1835E+04 -.3807E+01   .9966005  .0823816  .0007927
T  208  9 .8313724E+07   2138849E-02  .1829E+04 -.1517E+03   .9957544  .0900105 -.0192678
T  209  9 .7721871E+07   2137461E-02  .2174E+04  .2000E+04   .9829569  .1103612  .1470241
T  210  9 .8201736E+07   2146262E-02  .1765E+04  .4731E+02   .9969919  .0774831  .0018983
T  211  9 .8135406E+07   2144954E-02  .1754E+04  .9226E+02   .9969874  .0774520  .0041605
T  212  9 .8297749E+07   2132268E-02  .1761E+04  .1423E+03   .9968653  .0787803  .0072980
T  213  9 .8242713E+07   2140609E-02  .1882E+04 -.9433E+02   .9959264  .0899909 -.0056722
T  214  9 .8292450E+07   2145771E-02  .1925E+04  .5141E+02   .9963562  .0842667  .0131739
T  215  9 .8378004E+07   2144652E-02  .1799E+04  .1840E+02   .9956127  .0934147  .0053842
T  216  9 .8181881E+07   2143068E-02  .2065E+04  .1338E+02   .9950220  .0994419 -.0065179
T  217  9 .8243439E+07   2146360E-02  .1942E+04  .9578E+02   .9958930  .0899575  .0102323
